pixel_id,latitude,longitude
10346,-16.5000,-62.7500
10347,-16.5000,-62.5000
10348,-16.5000,-62.2500
10349,-16.5000,-62.0000
10350,-16.5000,-61.7500
10351,-16.5000,-61.5000
10352,-16.5000,-61.2500
10353,-16.5000,-61.0000
10354,-16.5000,-60.7500
10463,-16.2500,-68.0000
10464,-16.2500,-67.7500
10465,-16.2500,-67.5000
10466,-16.2500,-67.2500
10467,-16.2500,-67.0000
10468,-16.2500,-66.7500
10469,-16.2500,-66.5000
10470,-16.2500,-66.2500
10471,-16.2500,-66.0000
10472,-16.2500,-65.7500
10473,-16.2500,-65.5000
10474,-16.2500,-65.2500
10475,-16.2500,-65.0000
10476,-16.2500,-64.7500
10477,-16.2500,-64.5000
10478,-16.2500,-64.2500
10479,-16.2500,-64.0000
10480,-16.2500,-63.7500
10481,-16.2500,-63.5000
10482,-16.2500,-63.2500
10483,-16.2500,-63.0000
10484,-16.2500,-62.7500
10485,-16.2500,-62.5000
10486,-16.2500,-62.2500
10487,-16.2500,-62.0000
10488,-16.2500,-61.7500
10489,-16.2500,-61.5000
10490,-16.2500,-61.2500
10491,-16.2500,-61.0000
10492,-16.2500,-60.7500
10493,-16.2500,-60.5000
10494,-16.2500,-60.2500
10495,-16.2500,-60.0000
10496,-16.2500,-59.7500
10603,-16.0000,-68.2500
10604,-16.0000,-68.0000
10605,-16.0000,-67.7500
10606,-16.0000,-67.5000
10607,-16.0000,-67.2500
10608,-16.0000,-67.0000
10609,-16.0000,-66.7500
10610,-16.0000,-66.5000
10611,-16.0000,-66.2500
10612,-16.0000,-66.0000
10613,-16.0000,-65.7500
10614,-16.0000,-65.5000
10615,-16.0000,-65.2500
10616,-16.0000,-65.0000
10617,-16.0000,-64.7500
10618,-16.0000,-64.5000
10619,-16.0000,-64.2500
10620,-16.0000,-64.0000
10621,-16.0000,-63.7500
10622,-16.0000,-63.5000
10623,-16.0000,-63.2500
10624,-16.0000,-63.0000
10625,-16.0000,-62.7500
10626,-16.0000,-62.5000
10627,-16.0000,-62.2500
10628,-16.0000,-62.0000
10629,-16.0000,-61.7500
10630,-16.0000,-61.5000
10631,-16.0000,-61.2500
10632,-16.0000,-61.0000
10633,-16.0000,-60.7500
10634,-16.0000,-60.5000
10635,-16.0000,-60.2500
10636,-16.0000,-60.0000
10637,-16.0000,-59.7500
10638,-16.0000,-59.5000
10743,-15.7500,-68.7500
10744,-15.7500,-68.5000
10745,-15.7500,-68.2500
10746,-15.7500,-68.0000
10747,-15.7500,-67.7500
10748,-15.7500,-67.5000
10749,-15.7500,-67.2500
10750,-15.7500,-67.0000
10751,-15.7500,-66.7500
10752,-15.7500,-66.5000
10753,-15.7500,-66.2500
10754,-15.7500,-66.0000
10755,-15.7500,-65.7500
10756,-15.7500,-65.5000
10757,-15.7500,-65.2500
10758,-15.7500,-65.0000
10759,-15.7500,-64.7500
10760,-15.7500,-64.5000
10761,-15.7500,-64.2500
10762,-15.7500,-64.0000
10763,-15.7500,-63.7500
10764,-15.7500,-63.5000
10765,-15.7500,-63.2500
10766,-15.7500,-63.0000
10767,-15.7500,-62.7500
10768,-15.7500,-62.5000
10769,-15.7500,-62.2500
10770,-15.7500,-62.0000
10771,-15.7500,-61.7500
10772,-15.7500,-61.5000
10773,-15.7500,-61.2500
10774,-15.7500,-61.0000
10775,-15.7500,-60.7500
10776,-15.7500,-60.5000
10777,-15.7500,-60.2500
10778,-15.7500,-60.0000
10779,-15.7500,-59.7500
10780,-15.7500,-59.5000
10781,-15.7500,-59.2500
10875,-15.5000,-71.7500
10886,-15.5000,-69.0000
10887,-15.5000,-68.7500
10888,-15.5000,-68.5000
10889,-15.5000,-68.2500
10890,-15.5000,-68.0000
10891,-15.5000,-67.7500
10892,-15.5000,-67.5000
10893,-15.5000,-67.2500
10894,-15.5000,-67.0000
10895,-15.5000,-66.7500
10896,-15.5000,-66.5000
10897,-15.5000,-66.2500
10898,-15.5000,-66.0000
10899,-15.5000,-65.7500
10900,-15.5000,-65.5000
10901,-15.5000,-65.2500
10902,-15.5000,-65.0000
10903,-15.5000,-64.7500
10904,-15.5000,-64.5000
10905,-15.5000,-64.2500
10906,-15.5000,-64.0000
10907,-15.5000,-63.7500
10908,-15.5000,-63.5000
10909,-15.5000,-63.2500
10910,-15.5000,-63.0000
10911,-15.5000,-62.7500
10912,-15.5000,-62.5000
10913,-15.5000,-62.2500
10914,-15.5000,-62.0000
10915,-15.5000,-61.7500
10916,-15.5000,-61.5000
10917,-15.5000,-61.2500
10918,-15.5000,-61.0000
10919,-15.5000,-60.7500
10920,-15.5000,-60.5000
10921,-15.5000,-60.2500
10922,-15.5000,-60.0000
10923,-15.5000,-59.7500
10924,-15.5000,-59.5000
10925,-15.5000,-59.2500
11021,-15.2500,-71.7500
11032,-15.2500,-69.0000
11033,-15.2500,-68.7500
11034,-15.2500,-68.5000
11035,-15.2500,-68.2500
11036,-15.2500,-68.0000
11037,-15.2500,-67.7500
11038,-15.2500,-67.5000
11039,-15.2500,-67.2500
11040,-15.2500,-67.0000
11041,-15.2500,-66.7500
11042,-15.2500,-66.5000
11043,-15.2500,-66.2500
11044,-15.2500,-66.0000
11045,-15.2500,-65.7500
11046,-15.2500,-65.5000
11047,-15.2500,-65.2500
11048,-15.2500,-65.0000
11049,-15.2500,-64.7500
11050,-15.2500,-64.5000
11051,-15.2500,-64.2500
11052,-15.2500,-64.0000
11053,-15.2500,-63.7500
11054,-15.2500,-63.5000
11055,-15.2500,-63.2500
11056,-15.2500,-63.0000
11057,-15.2500,-62.7500
11058,-15.2500,-62.5000
11059,-15.2500,-62.2500
11060,-15.2500,-62.0000
11061,-15.2500,-61.7500
11062,-15.2500,-61.5000
11063,-15.2500,-61.2500
11064,-15.2500,-61.0000
11065,-15.2500,-60.7500
11066,-15.2500,-60.5000
11067,-15.2500,-60.2500
11068,-15.2500,-60.0000
11069,-15.2500,-59.7500
11070,-15.2500,-59.5000
11071,-15.2500,-59.2500
11072,-15.2500,-59.0000
11167,-15.0000,-72.0000
11168,-15.0000,-71.7500
11169,-15.0000,-71.5000
11170,-15.0000,-71.2500
11179,-15.0000,-69.0000
11180,-15.0000,-68.7500
11181,-15.0000,-68.5000
11182,-15.0000,-68.2500
11183,-15.0000,-68.0000
11184,-15.0000,-67.7500
11185,-15.0000,-67.5000
11186,-15.0000,-67.2500
11187,-15.0000,-67.0000
11188,-15.0000,-66.7500
11189,-15.0000,-66.5000
11190,-15.0000,-66.2500
11191,-15.0000,-66.0000
11192,-15.0000,-65.7500
11193,-15.0000,-65.5000
11194,-15.0000,-65.2500
11195,-15.0000,-65.0000
11196,-15.0000,-64.7500
11197,-15.0000,-64.5000
11198,-15.0000,-64.2500
11199,-15.0000,-64.0000
11200,-15.0000,-63.7500
11201,-15.0000,-63.5000
11202,-15.0000,-63.2500
11203,-15.0000,-63.0000
11204,-15.0000,-62.7500
11205,-15.0000,-62.5000
11206,-15.0000,-62.2500
11207,-15.0000,-62.0000
11208,-15.0000,-61.7500
11209,-15.0000,-61.5000
11210,-15.0000,-61.2500
11211,-15.0000,-61.0000
11212,-15.0000,-60.7500
11213,-15.0000,-60.5000
11214,-15.0000,-60.2500
11215,-15.0000,-60.0000
11216,-15.0000,-59.7500
11217,-15.0000,-59.5000
